,year,round,team1,team2,hscore,ascore
227,2019,3,Sydney,Carlton,74,93
228,2019,3,West Coast,Collingwood,76,98
229,2019,3,St Kilda,Fremantle,71,66
230,2019,3,Richmond,Greater Western Sydney,125,76
231,2019,3,North Melbourne,Hawthorn,87,71
232,2019,3,Essendon,Melbourne,112,130
233,2019,3,Gold Coast,Western Bulldogs,68,73
234,2019,4,Western Bulldogs,Collingwood,78,64
235,2019,4,Brisbane Lions,Essendon,112,65
236,2019,4,Greater Western Sydney,Geelong,75,79
237,2019,4,Carlton,Gold Coast,59,57
238,2019,4,Adelaide,North Melbourne,71,59
239,2019,4,Richmond,Port Adelaide,92,99
240,2019,4,Hawthorn,St Kilda,74,69
241,2019,4,Melbourne,Sydney,78,100
242,2019,4,Fremantle,West Coast,69,56
243,2019,5,Gold Coast,Adelaide,119,46
244,2019,5,Collingwood,Brisbane Lions,61,123
245,2019,5,Fremantle,Greater Western Sydney,82,106
246,2019,5,Geelong,Hawthorn,90,113
247,2019,5,St Kilda,Melbourne,55,95
248,2019,5,Essendon,North Melbourne,58,116
249,2019,5,Sydney,Richmond,89,67
250,2019,5,Port Adelaide,West Coast,53,95
251,2019,5,Carlton,Western Bulldogs,57,101
252,2019,6,Collingwood,Essendon,69,73
253,2019,6,Western Bulldogs,Fremantle,88,69
254,2019,6,West Coast,Geelong,104,46
255,2019,6,Brisbane Lions,Gold Coast,62,111
256,2019,6,Carlton,Hawthorn,93,88
257,2019,6,North Melbourne,Port Adelaide,88,72
258,2019,6,Melbourne,Richmond,85,42
259,2019,6,Adelaide,St Kilda,68,97
260,2019,6,Greater Western Sydney,Sydney,79,120
261,2019,7,Fremantle,Adelaide,51,34
262,2019,7,Sydney,Brisbane Lions,103,81
263,2019,7,North Melbourne,Carlton,62,120
264,2019,7,Port Adelaide,Collingwood,108,69
265,2019,7,Essendon,Geelong,86,54
266,2019,7,St Kilda,Greater Western Sydney,114,70
267,2019,7,Hawthorn,Melbourne,79,74
268,2019,7,Gold Coast,West Coast,80,57
269,2019,7,Richmond,Western Bulldogs,99,52
270,2019,8,Collingwood,Carlton,87,106
271,2019,8,Richmond,Fremantle,86,111
272,2019,8,Melbourne,Gold Coast,60,61
273,2019,8,Greater Western Sydney,Hawthorn,71,38
274,2019,8,Geelong,North Melbourne,80,104
275,2019,8,Adelaide,Port Adelaide,68,88
276,2019,8,West Coast,St Kilda,70,88
277,2019,8,Essendon,Sydney,77,72
278,2019,8,Brisbane Lions,Western Bulldogs,92,76
279,2019,9,Adelaide,Brisbane Lions,93,92
280,2019,9,St Kilda,Collingwood,112,71
281,2019,9,Fremantle,Essendon,60,53
282,2019,9,Western Bulldogs,Geelong,133,89
283,2019,9,Carlton,Greater Western Sydney,138,45
284,2019,9,Sydney,North Melbourne,72,77
285,2019,9,Gold Coast,Port Adelaide,89,51
286,2019,9,Hawthorn,Richmond,95,59
287,2019,9,Melbourne,West Coast,85,69
288,2019,10,West Coast,Adelaide,73,85
289,2019,10,Brisbane Lions,Fremantle,73,72
290,2019,10,Geelong,Gold Coast,64,91
291,2019,10,Port Adelaide,Hawthorn,80,49
292,2019,10,Greater Western Sydney,Melbourne,68,94
293,2019,10,Essendon,Richmond,73,50
294,2019,10,Carlton,St Kilda,68,55
295,2019,10,Collingwood,Sydney,73,80
296,2019,10,North Melbourne,Western Bulldogs,90,115
297,2019,11,Hawthorn,Brisbane Lions,85,66
298,2019,11,Fremantle,Collingwood,75,79
299,2019,11,Carlton,Essendon,74,33
300,2019,11,Sydney,Geelong,85,63
301,2019,11,Gold Coast,Greater Western Sydney,126,43
302,2019,11,Adelaide,Melbourne,88,90
303,2019,11,Richmond,North Melbourne,99,62
304,2019,11,Port Adelaide,St Kilda,69,139
305,2019,11,Western Bulldogs,West Coast,133,72
306,2019,12,Greater Western Sydney,Adelaide,82,61
307,2019,12,Brisbane Lions,Carlton,78,63
308,2019,12,Melbourne,Collingwood,98,57
309,2019,12,North Melbourne,Gold Coast,72,99
310,2019,12,Geelong,Richmond,37,104
311,2019,12,West Coast,Sydney,116,71
312,2019,13,Richmond,Adelaide,101,68
313,2019,13,Western Bulldogs,Carlton,100,103
314,2019,13,Hawthorn,Essendon,96,77
315,2019,13,Port Adelaide,Fremantle,100,79
316,2019,13,St Kilda,Gold Coast,76,80
317,2019,13,Greater Western Sydney,North Melbourne,68,91
318,2019,14,Fremantle,Melbourne,85,71
319,2019,14,Geelong,Port Adelaide,67,56
320,2019,14,Brisbane Lions,St Kilda,59,115
321,2019,14,Hawthorn,Sydney,82,63
322,2019,14,Essendon,West Coast,106,71
323,2019,14,Collingwood,Western Bulldogs,73,82
324,2019,15,Melbourne,Brisbane Lions,107,74
325,2019,15,North Melbourne,Collingwood,37,81
326,2019,15,Greater Western Sydney,Essendon,77,71
327,2019,15,Carlton,Fremantle,75,79
328,2019,15,Adelaide,Geelong,96,69
329,2019,15,West Coast,Hawthorn,71,77
330,2019,15,Western Bulldogs,Port Adelaide,41,66
331,2019,15,Richmond,St Kilda,70,103
332,2019,15,Gold Coast,Sydney,93,51
333,2019,16,Port Adelaide,Adelaide,44,101
334,2019,16,Melbourne,Carlton,100,105
335,2019,16,Sydney,Essendon,76,66
336,2019,16,West Coast,Fremantle,31,122
337,2019,16,Richmond,Gold Coast,58,150
338,2019,16,Brisbane Lions,Greater Western Sydney,74,94
