,Rank,Player,Team,CurrentSalary,RoundSalary,RoundScore,RoundValue,Year,Round 
2056,73,Jed Anderson,Kangaroos,"$440,900","$337,200",96,28.5,2018,6
2057,73,Mitchell Wallis,Bulldogs,"$213,500","$483,500",96,19.9,2018,6
2058,79,Luke Shuey,Eagles,"$472,800","$509,500",95,18.6,2018,6
2059,79,Callum Mills,Swans,"$642,400","$408,900",95,23.2,2018,6
2060,79,Harry Morrison,Hawks,"$415,600","$280,600",95,33.9,2018,6
2061,82,Elliot Yeo,Eagles,"$337,000","$506,100",94,18.6,2018,6
2062,82,Kieren Jack,Swans,"$244,600","$346,600",94,27.1,2018,6
2063,82,Matthew Suckling,Bulldogs,"$267,300","$449,100",94,20.9,2018,6
2064,82,Dan Houston,Power,"$545,100","$385,200",94,24.4,2018,6
2065,82,Patrick Dangerfield,Cats,"$457,300","$669,000",94,14.1,2018,6
2066,82,Charlie Dixon,Power,"$488,200","$417,200",94,22.5,2018,6
2067,82,Daniel Lloyd,Giants,"$253,800","$306,500",94,30.7,2018,6
2068,82,Jason Johannisen,Bulldogs,"$298,700","$438,800",94,21.4,2018,6
2069,82,Isaac Heeney,Swans,"$557,100","$557,600",94,16.9,2018,6
2070,91,Stephen Coniglio,Giants,"$557,700","$550,000",93,16.9,2018,6
2071,91,Ryan Griffen,Giants,"$299,800","$277,100",93,33.6,2018,6
2072,91,Matthew Wright,Blues,"$298,100","$357,000",93,26.1,2018,6
2073,91,Will Hayward,Swans,"$377,100","$271,100",93,34.3,2018,6
2074,91,Jayden Short,Tigers,"$543,800","$356,900",93,26.1,2018,6
2075,91,Paul Seedsman,Crows,"$422,000","$414,300",93,22.4,2018,6
2076,91,Jesse Lonergan,Suns,"$364,300","$344,500",93,27.0,2018,6
2077,98,Darcy Parish,Bombers,"$610,800","$388,500",92,23.7,2018,6
2078,98,Stefan Martin,Lions,"$296,300","$552,800",92,16.6,2018,6
2079,98,Ben Ronke,Swans,"$270,700","$123,900",92,74.3,2018,6
2080,98,Alex Witherden,Lions,"$552,400","$486,200",92,18.9,2018,6
2081,102,Jarryn Geary,Saints,"$241,000","$408,300",91,22.3,2018,6
2082,103,Jake Carlisle,Saints,"$340,600","$393,400",90,22.9,2018,6
2083,103,Jake Lloyd,Swans,"$507,300","$459,500",90,19.6,2018,6
2084,103,Daniel Talia,Crows,"$354,600","$375,300",90,24.0,2018,6
2085,103,Bayley Fritsch,Demons,"$360,600","$199,600",90,45.1,2018,6
2086,107,Robbie Gray,Power,"$365,400","$565,500",89,15.7,2018,6
2087,107,Dyson Heppell,Bombers,"$481,000","$509,500",89,17.5,2018,6
2088,107,Jack Crisp,Magpies,"$520,300","$464,400",89,19.2,2018,6
2089,107,Clayton Oliver,Demons,"$699,800","$581,100",89,15.3,2018,6
2090,107,Jack Gunston,Hawks,"$393,700","$466,100",89,19.1,2018,6
2091,112,Todd Goldstein,Kangaroos,"$513,300","$455,900",88,19.3,2018,6
2092,112,Taylor Duryea,Hawks,"$311,500","$367,000",88,24.0,2018,6
2093,112,Dustin Martin,Tigers,"$480,400","$632,800",88,13.9,2018,6
2094,115,Jack Newnes,Saints,"$320,900","$381,200",87,22.8,2018,6
2095,115,Brendon Goddard,Bombers,"$298,300","$493,800",87,17.6,2018,6
2096,115,Caleb Daniel,Bulldogs,"$495,200","$428,900",87,20.3,2018,6
2097,115,Zac Fisher,Blues,"$404,900","$356,200",87,24.4,2018,6
2098,115,Zak Jones,Swans,"$352,400","$437,600",87,19.9,2018,6
2099,120,Tom McDonald,Demons,"$365,800","$465,800",86,18.5,2018,6
2100,120,Mark Blicavs,Cats,"$537,200","$399,600",86,21.5,2018,6
2101,120,Darcy Tucker,Dockers,"$272,500","$299,100",86,28.8,2018,6
2102,120,Will Hoskin-Elliott,Magpies,"$330,900","$429,900",86,20.0,2018,6
2103,120,Edward Curnow,Blues,"$379,400","$539,500",86,15.9,2018,6
2104,120,Sebastian Ross,Saints,"$536,200","$527,100",86,16.3,2018,6
2105,120,Matthew Scharenberg,Magpies,"$313,700","$382,500",86,22.5,2018,6
2106,127,Tom Papley,Swans,"$441,800","$400,300",85,21.2,2018,6
2107,127,Jeremy Cameron,Giants,"$501,500","$443,100",85,19.2,2018,6
2108,127,Luke Ryan,Dockers,"$531,600","$449,100",85,18.9,2018,6
2109,127,Jake Waterman,Eagles,"$310,900","$247,700",85,34.3,2018,6
2110,127,Jake Melksham,Demons,"$316,900","$327,000",85,26.0,2018,6
2111,127,Luke Breust,Hawks,"$350,300","$461,400",85,18.4,2018,6
2112,133,Dougal Howard,Power,"$370,500","$322,500",84,26.0,2018,6
2113,133,Cale Hooker,Bombers,"$295,400","$374,800",84,22.4,2018,6
2114,133,Jeremy McGovern,Eagles,"$483,400","$458,200",84,18.3,2018,6
2115,133,Jonathon Patton,Giants,"$189,800","$442,200",84,19.0,2018,6
2116,133,Majak Daw,Kangaroos,"$176,400","$340,500",84,24.7,2018,6
2117,138,Aaron Sandilands,Dockers,"$471,800","$473,400",83,17.5,2018,6
2118,138,Ricky Henderson,Hawks,"$393,700","$449,900",83,18.4,2018,6
2119,138,Tom Doedee,Crows,"$422,300","$312,800",83,26.5,2018,6
2120,138,Luke McDonald,Kangaroos,"$487,300","$429,700",83,19.3,2018,6
2121,138,George Hewett,Swans,"$613,300","$321,000",83,25.9,2018,6
2122,143,Jake Stringer,Bombers,"$378,400","$341,100",82,24.0,2018,6
2123,143,Dane Rampe,Swans,"$330,100","$391,400",82,21.0,2018,6
2124,143,Daniel Howe,Hawks,"$301,400","$399,300",82,20.5,2018,6
2125,143,Harris Andrews,Lions,"$438,400","$409,800",82,20.0,2018,6
2126,147,Charlie Spargo,Demons,"$308,600","$117,300",81,69.1,2018,6
2127,147,Sam Gilbert,Saints,"$267,100","$358,300",81,22.6,2018,6
2128,147,Jake Neade,Power,"$277,400","$327,400",81,24.7,2018,6
2129,150,Josh Jenkins,Crows,"$323,400","$399,900",80,20.0,2018,6
2130,150,Thomas Stewart,Cats,"$604,000","$414,500",80,19.3,2018,6
2131,150,Darcy Gardiner,Lions,"$344,400","$342,500",80,23.4,2018,6
2132,150,Scott Thompson,Kangaroos,"$368,000","$437,100",80,18.3,2018,6
2133,150,Bryce Gibbs,Crows,"$290,100","$555,800",80,14.4,2018,6
2134,155,Luke Parker,Swans,"$572,100","$505,900",79,15.6,2018,6
2135,155,Thomas Boyd,Bulldogs,"$364,200","$339,400",79,23.3,2018,6
2136,155,Jaeger O'Meara,Hawks,"$472,400","$426,600",79,18.5,2018,6
2137,155,Brandon Matera,Dockers,"$265,500","$378,300",79,20.9,2018,6
2138,155,Darcy Byrne-Jones,Power,"$460,400","$323,700",79,24.4,2018,6
2139,155,Alex Rance,Tigers,"$448,100","$490,700",79,16.1,2018,6
2140,155,Jarrad McVeigh,Swans,"$384,800","$442,100",79,17.9,2018,6
2141,162,Billy Gowers,Bulldogs,"$205,300","$194,500",78,40.1,2018,6
2142,162,Aaron Naughton,Bulldogs,"$436,800","$251,300",78,31.0,2018,6
2143,162,Neville Jetta,Demons,"$194,900","$311,900",78,25.0,2018,6
2144,162,Angus Brayshaw,Demons,"$550,300","$316,700",78,24.6,2018,6
2145,162,Shane Edwards,Tigers,"$326,200","$428,100",78,18.2,2018,6
2146,162,Rory Atkins,Crows,"$203,900","$426,700",78,18.3,2018,6
2147,162,Blake Hardwick,Hawks,"$391,700","$329,600",78,23.7,2018,6
2148,162,Charlie Curnow,Blues,"$474,200","$431,900",78,18.1,2018,6
2149,170,Kane Lambert,Tigers,"$290,400","$453,600",77,17.0,2018,6
2150,170,Luke Dahlhaus,Bulldogs,"$225,800","$469,000",77,16.4,2018,6
2151,170,Matthew Kennedy,Blues,"$532,400","$318,300",77,24.2,2018,6
2152,170,David MacKay,Crows,"$282,000","$339,300",77,22.7,2018,6
2153,170,Chad Wingard,Power,"$352,400","$410,300",77,18.8,2018,6
2154,170,Jesse Joyce,Suns,"$326,800","$350,500",77,22.0,2018,6
2155,176,Tom Cutler,Lions,"$359,900","$400,800",76,19.0,2018,6
2156,176,Chris Masten,Eagles,"$332,600","$420,700",76,18.1,2018,6
2157,176,Jordan Gallucci,Crows,"$269,900","$219,400",76,34.6,2018,6
2158,176,Blake Acres,Saints,"$456,100","$470,000",76,16.2,2018,6
2159,176,Lynden Dunn,Magpies,"$238,000","$331,700",76,22.9,2018,6
2160,176,Sam Jacobs,Crows,"$445,800","$467,400",76,16.3,2018,6
2161,176,Matthew Leuenberger,Bombers,"$376,800","$376,800",76,20.2,2018,6
2162,183,Levi Casboult,Blues,"$270,600","$364,000",75,20.6,2018,6
2163,183,Jayden Laverde,Bombers,"$375,100","$237,500",75,31.6,2018,6
2164,183,Mason Cox,Magpies,"$335,100","$272,700",75,27.5,2018,6
2165,183,Christian Salem,Demons,"$390,400","$419,400",75,17.9,2018,6
2166,183,Callum Brown,Magpies,"$206,100","$289,100",75,25.9,2018,6
2167,183,Nicholas Robertson,Lions,"$339,500","$328,800",75,22.8,2018,6
2168,183,Mark Lecras,Eagles,"$314,600","$379,400",75,19.8,2018,6
2169,183,Daniel Butler,Tigers,"$299,000","$281,100",75,26.7,2018,6
2170,191,Jordan Murdoch,Cats,"$253,000","$378,600",74,19.5,2018,6
2171,191,Allen Christensen,Lions,"$367,800","$356,900",74,20.7,2018,6
2172,191,Jarrad Waite,Kangaroos,"$430,400","$438,600",74,16.9,2018,6
2173,191,Tim Membrey,Saints,"$417,200","$374,300",74,19.8,2018,6
2174,195,Phil Davis,Giants,"$296,000","$378,000",73,19.3,2018,6
2175,195,Taylor Walker,Crows,"$499,200","$433,100",73,16.9,2018,6
2176,195,Michael Barlow,Suns,"$451,700","$462,700",73,15.8,2018,6
2177,195,Rhys Stanley,Cats,"$438,500","$409,400",73,17.8,2018,6
2178,195,Patrick Ambrose,Bombers,"$217,800","$309,700",73,23.6,2018,6
2179,195,Ryan Clarke,Kangaroos,"$313,100","$332,300",73,22.0,2018,6
2180,195,Bailey Dale,Bulldogs,"$561,100","$326,200",73,22.4,2018,6
2181,202,Tom Hickey,Saints,"$465,900","$327,200",72,22.0,2018,6
2182,202,Aidyn Johnson,Power,"$208,100","$199,700",72,36.1,2018,6
2183,202,Steven May,Suns,"$507,400","$378,800",72,19.0,2018,6
2184,205,Steele Sidebottom,Magpies,"$409,200","$570,100",71,12.5,2018,6
2185,205,Jordan Cunico,Cats,"$381,500","$188,600",71,37.6,2018,6
2186,205,Jack Higgins,Tigers,"$341,700","$130,800",71,54.3,2018,6
2187,205,Bailey Williams,Bulldogs,"$317,000","$397,300",71,17.9,2018,6
2188,205,David Mirra,Hawks,"$352,800","$102,400",71,69.3,2018,6
2189,205,Nathan Jones,Demons,"$227,900","$506,100",71,14.0,2018,6
2190,205,Karl Amon,Power,"$508,300","$370,500",71,19.2,2018,6
2191,205,James Frawley,Hawks,"$295,900","$314,600",71,22.6,2018,6
2192,205,Liam Duggan,Eagles,"$435,200","$350,400",71,20.3,2018,6
2193,214,Oliver Florent,Swans,"$372,900","$270,500",70,25.9,2018,6
2194,214,Aidan Corr,Giants,"$380,700","$262,400",70,26.7,2018,6
2195,214,Jarrod Berry,Lions,"$417,300","$334,600",70,20.9,2018,6
2196,214,Sam Menegola,Cats,"$344,000","$556,500",70,12.6,2018,6
2197,214,Esava Ratugolea,Cats,"$174,000","$213,900",70,32.7,2018,6
2198,214,Hugh Greenwood,Crows,"$416,100","$436,400",70,16.0,2018,6
2199,214,Jarryd Blair,Magpies,"$328,900","$328,900",70,21.3,2018,6
2200,214,Kade Simpson,Blues,"$407,300","$532,700",70,13.1,2018,6
2201,214,Nicholas Naitanui,Eagles,"$537,500","$492,400",70,14.2,2018,6
2202,223,Brayden Fiorini,Suns,"$360,400","$368,800",69,18.7,2018,6
2203,223,Ryan Burton,Hawks,"$455,000","$351,500",69,19.6,2018,6
2204,223,Liam Jones,Blues,"$228,100","$362,900",69,19.0,2018,6
2205,223,Andrew Phillips,Blues,"$325,500","$224,300",69,30.8,2018,6
2206,223,Bachar Houli,Tigers,"$471,600","$464,900",69,14.8,2018,6
2207,223,Patrick Lipinski,Bulldogs,"$472,700","$204,000",69,33.8,2018,6
2208,229,Jamie Cripps,Eagles,"$398,400","$402,900",68,16.9,2018,6
2209,229,Harrison Himmelberg,Giants,"$499,000","$236,600",68,28.7,2018,6
2210,229,Brayden Maynard,Magpies,"$455,900","$348,600",68,19.5,2018,6
2211,229,Lachlan Weller,Suns,"$447,500","$376,900",68,18.0,2018,6
2212,229,Nathan Wilson,Dockers,"$264,300","$429,000",68,15.9,2018,6
2213,229,Alex Sexton,Suns,"$214,400","$317,200",68,21.4,2018,6
2214,235,Bernie Vince,Demons,"$273,500","$408,100",67,16.4,2018,6
2215,235,Ben McNiece,Bombers,"$264,000","$209,700",67,32.0,2018,6
2216,235,Tom Cole,Eagles,"$182,300","$170,400",67,39.3,2018,6
2217,238,Shaun Burgoyne,Hawks,"$285,800","$481,300",66,13.7,2018,6
2218,238,Dion Prestia,Tigers,"$518,800","$456,000",66,14.5,2018,6
2219,238,Marley Williams,Kangaroos,"$347,900","$341,100",66,19.3,2018,6
2220,238,Jordan Lewis,Demons,"$370,800","$452,600",66,14.6,2018,6
2221,238,Mark Baguley,Bombers,"$289,100","$330,900",66,19.9,2018,6
2222,238,Kobe Mutch,Bombers,"$207,400","$123,900",66,53.3,2018,6
2223,244,Jeremy Finlayson,Giants,"$456,200","$329,000",65,19.8,2018,6
2224,244,Jake Kolodjashnij,Cats,"$312,200","$326,400",65,19.9,2018,6
2225,244,Nathan Broad,Tigers,"$454,700","$312,400",65,20.8,2018,6
2226,244,Mitch McGovern,Crows,"$338,400","$367,500",65,17.7,2018,6
2227,244,Ben Jacobs,Kangaroos,"$348,500","$308,200",65,21.1,2018,6
2228,244,Joel Hamling,Dockers,"$169,600","$317,400",65,20.5,2018,6
2229,244,Andrew McGrath,Bombers,"$478,700","$341,400",65,19.0,2018,6
2230,244,Ben Brown,Kangaroos,"$339,100","$516,000",65,12.6,2018,6
2231,244,Nick Smith,Swans,"$338,200","$311,400",65,20.9,2018,6
2232,244,Hugh McCluggage,Lions,"$570,800","$343,300",65,18.9,2018,6
2233,254,Ed Vickers-Willis,Kangaroos,"$297,200","$298,700",64,21.4,2018,6
2234,254,Steven Motlop,Power,"$257,500","$335,600",64,19.1,2018,6
2235,254,Patrick McCartin,Saints,"$388,500","$248,400",64,25.8,2018,6
2236,254,Josh Thomas,Magpies,"$287,300","$405,800",64,15.8,2018,6
2237,254,Jarryd Roughead,Hawks,"$373,700","$421,000",64,15.2,2018,6
2238,254,James Worpel,Hawks,"$309,300","$117,300",64,54.6,2018,6
2239,254,Lewis Taylor,Lions,"$188,400","$389,900",64,16.4,2018,6
2240,254,Dominic Sheed,Eagles,"$332,000","$451,400",64,14.2,2018,6
2241,254,Easton Wood,Bulldogs,"$256,800","$315,200",64,20.3,2018,6
2242,254,Shaun Grigg,Tigers,"$432,700","$429,100",64,14.9,2018,6
2243,264,Robbie Fox,Swans,"$425,000","$232,200",63,27.1,2018,6
2244,264,Cory Gregson,Cats,"$244,800","$225,000",63,28.0,2018,6
2245,264,Matt Guelfi,Bombers,"$319,900","$117,300",63,53.7,2018,6
2246,264,Harry McKay,Blues,"$436,700","$207,800",63,30.3,2018,6
2247,264,Jed Bews,Cats,"$272,000","$294,000",63,21.4,2018,6
2248,264,Hayden Crozier,Bulldogs,"$218,500","$341,400",63,18.5,2018,6
2249,264,Aaron Young,Suns,"$325,700","$317,300",63,19.9,2018,6
2250,264,Tim O'Brien,Hawks,"$344,400","$299,600",63,21.0,2018,6
2251,272,Michael Johnson,Dockers,"$318,900","$378,600",62,16.4,2018,6
2252,272,Stephen Hill,Dockers,"$338,000","$436,500",62,14.2,2018,6
2253,272,Samuel Murray,Magpies,"$385,000","$304,300",62,20.4,2018,6
2254,272,Tom Clurey,Power,"$333,300","$270,200",62,22.9,2018,6
2255,272,Callan Ward,Giants,"$469,200","$549,400",62,11.3,2018,6
2256,277,Lachlan Plowman,Blues,"$314,900","$329,700",61,18.5,2018,6
2257,277,Andrew Brayshaw,Dockers,"$615,600","$222,100",61,27.5,2018,6
2258,277,Billy Hartung,Kangaroos,"$291,300","$413,800",61,14.7,2018,6
2259,277,Alex Pearce,Dockers,"$328,600","$272,400",61,22.4,2018,6
2260,277,Jack Sinclair,Saints,"$626,200","$431,900",61,14.1,2018,6
2261,277,Riley Knight,Crows,"$344,300","$320,600",61,19.0,2018,6
2262,277,Jackson Thurlow,Cats,"$346,300","$298,500",61,20.4,2018,6
2263,284,Maverick Weller,Saints,"$334,500","$350,300",60,17.1,2018,6
2264,284,Josh Dunkley,Bulldogs,"$596,400","$374,400",60,16.0,2018,6
2265,284,Zac Langdon,Giants,"$264,300","$117,300",60,51.2,2018,6
2266,287,Jack Bowes,Suns,"$277,500","$283,100",59,20.8,2018,6
2267,287,Kayne Turner,Kangaroos,"$264,300","$263,400",59,22.4,2018,6
2268,287,Harry Cunningham,Swans,"$309,500","$349,500",59,16.9,2018,6
2269,287,Paddy Dow,Blues,"$251,100","$225,700",59,26.1,2018,6
2270,287,James Stewart,Bombers,"$254,600","$353,400",59,16.7,2018,6
2271,287,Jacob Hopper,Giants,"$332,000","$349,700",59,16.9,2018,6
2272,293,Nick Vlastuin,Tigers,"$548,200","$424,400",58,13.7,2018,6
2273,293,Flynn Appleby,Magpies,"$222,900","$121,900",58,47.6,2018,6
2274,293,Matthew Rosa,Suns,"$340,000","$406,800",58,14.3,2018,6
2275,293,Joshua Kennedy,Eagles,"$362,000","$514,200",58,11.3,2018,6
2276,293,Ed Richards,Bulldogs,"$460,400","$224,900",58,25.8,2018,6
2277,293,Dom Tyson,Demons,"$243,900","$444,100",58,13.1,2018,6
2278,299,Oliver Wines,Power,"$580,700","$537,400",57,10.6,2018,6
2279,299,Zaine Cordy,Bulldogs,"$231,700","$378,700",57,15.1,2018,6
2280,299,Zac Bailey,Lions,"$421,100","$139,800",57,40.8,2018,6
2281,302,Nathan Brown,Saints,"$289,500","$226,000",56,24.8,2018,6
2282,302,Jayden Hunt,Demons,"$285,600","$359,000",56,15.6,2018,6
2283,304,Jarrod Harbrow,Suns,"$291,100","$412,000",55,13.3,2018,6
2284,304,Oscar McDonald,Demons,"$201,900","$328,100",55,16.8,2018,6
2285,304,William Langford,Hawks,"$236,000","$369,500",55,14.9,2018,6
2286,307,Oscar McInerney,Lions,"$487,000","$123,900",54,43.6,2018,6
2287,307,Jack Henry,Cats,"$338,600","$206,300",54,26.2,2018,6
2288,307,Ben Reid,Magpies,"$296,300","$374,300",54,14.4,2018,6
2289,307,Brandon White,Saints,"$261,400","$250,100",54,21.6,2018,6
2290,307,Gary Rohan,Swans,"$305,900","$344,600",54,15.7,2018,6
2291,312,Jarrod Witts,Suns,"$605,100","$487,400",53,10.9,2018,6
2292,312,Riley Bonner,Power,"$419,500","$320,300",53,16.5,2018,6
2293,312,Jarman Impey,Hawks,"$339,300","$334,400",53,15.8,2018,6
2294,312,Taylin Duman,Dockers,"$324,300","$123,900",53,42.8,2018,6
2295,316,Max Spencer,Suns,"$253,400","$267,400",52,19.4,2018,6
2296,316,James Parsons,Cats,"$282,400","$268,300",52,19.4,2018,6
2297,316,Bailey Banfield,Dockers,"$233,700","$252,900",52,20.6,2018,6
2298,316,Dylan Grimes,Tigers,"$322,300","$287,800",52,18.1,2018,6
2299,316,Cameron Rayner,Lions,"$390,700","$268,600",52,19.4,2018,6
2300,321,Lewis Jetta,Eagles,"$325,400","$352,400",51,14.5,2018,6
2301,321,Tom Lynch,Suns,"$519,100","$460,900",51,11.1,2018,6
2302,321,Jack Graham,Tigers,"$415,400","$261,600",51,19.5,2018,6
2303,321,Robbie Tarrant,Kangaroos,"$317,600","$438,400",51,11.6,2018,6
2304,325,Lachlan Fogarty,Cats,"$167,400","$267,800",50,18.7,2018,6
2305,325,Cameron McCarthy,Dockers,"$289,200","$329,000",50,15.2,2018,6
2306,325,Jack Hombsch,Power,"$230,200","$302,400",50,16.5,2018,6
2307,325,Tom Barrass,Eagles,"$510,900","$361,500",50,13.8,2018,6
2308,329,Jack Martin,Suns,"$297,300","$457,700",49,10.7,2018,6
2309,329,Jason Castagna,Tigers,"$281,800","$388,300",49,12.6,2018,6
2310,329,Trent Dumont,Kangaroos,"$345,500","$400,000",49,12.2,2018,6
2311,329,Lin Jong,Bulldogs,"$318,100","$383,100",49,12.8,2018,6
2312,333,Mitchell Crowden,Dockers,"$257,300","$201,800",48,23.8,2018,6
2313,333,Cameron O'Shea,Blues,"$174,900","$170,400",48,28.2,2018,6
2314,333,Christopher Mayne,Magpies,"$449,600","$255,100",48,18.8,2018,6
2315,333,Sam Petrevski-Seton,Blues,"$281,600","$319,500",48,15.0,2018,6
2316,337,Sam Day,Suns,"$235,600","$294,700",47,15.9,2018,6
2317,337,Jaidyn Stephenson,Magpies,"$377,500","$286,700",47,16.4,2018,6
2318,337,Jordan De Goey,Magpies,"$468,700","$434,300",47,10.8,2018,6
2319,337,Jack Billings,Saints,"$405,400","$424,700",47,11.1,2018,6
2320,341,Nick Haynes,Giants,"$318,700","$408,500",46,11.3,2018,6
2321,341,Willie Rioli,Eagles,"$342,200","$181,300",46,25.4,2018,6
2322,341,Dayne Zorko,Lions,"$453,200","$485,100",46,9.5,2018,6
2323,341,Luke Dunstan,Saints,"$322,100","$493,300",46,9.3,2018,6
2324,341,Shaun Atley,Kangaroos,"$284,400","$413,800",46,11.1,2018,6
2325,346,Andy Otten,Crows,"$367,500","$399,400",45,11.3,2018,6
2326,346,Ben Long,Saints,"$353,900","$241,300",45,18.6,2018,6
2327,348,Timothy English,Bulldogs,"$581,000","$266,600",44,16.5,2018,6
2328,348,Adam Cerra,Dockers,"$504,400","$227,600",44,19.3,2018,6
2329,348,Hayden Ballantyne,Dockers,"$257,300","$302,900",44,14.5,2018,6
2330,348,Cameron Zurhaar,Kangaroos,"$351,200","$190,200",44,23.1,2018,6
2331,348,Jack Watts,Power,"$307,900","$385,500",44,11.4,2018,6
2332,348,Adam Saad,Bombers,"$567,900","$347,700",44,12.7,2018,6
2333,354,James Cousins,Hawks,"$399,500","$209,100",43,20.6,2018,6
2334,354,Caleb Marchbank,Blues,"$198,200","$381,100",43,11.3,2018,6
2335,354,Jacob Allison,Lions,"$176,800","$266,500",43,16.1,2018,6
2336,357,Ben Ainsworth,Suns,"$415,400","$258,500",42,16.2,2018,6
2337,357,Anthony McDonald-Tipungwuti,Bombers,"$209,600","$337,100",42,12.5,2018,6
2338,359,Charlie Cameron,Lions,"$427,400","$386,100",41,10.6,2018,6
2339,359,Alex Neal-Bullen,Demons,"$392,200","$400,200",41,10.2,2018,6
2340,359,Nicholas Shipley,Giants,"$123,900","$117,300",41,35.0,2018,6
2341,362,Joe Daniher,Bombers,"$338,800","$393,400",39,9.9,2018,6
2342,362,Jack Ziebell,Kangaroos,"$356,400","$497,100",39,7.8,2018,6
2343,362,Lochie O'Brien,Blues,"$354,400","$162,300",39,24.0,2018,6
2344,365,Benjamin Stratton,Hawks,"$210,900","$307,000",38,12.4,2018,6
2345,365,Rory Thompson,Suns,"$141,300","$302,300",38,12.6,2018,6
2346,367,Jake Lever,Demons,"$375,700","$387,000",37,9.6,2018,6
2347,368,Jade Gresham,Saints,"$481,800","$329,500",36,10.9,2018,6
2348,368,Jesse Hogan,Demons,"$463,400","$492,800",36,7.3,2018,6
2349,368,Bradley Sheppard,Eagles,"$347,400","$383,400",36,9.4,2018,6
2350,368,Jamie MacMillan,Kangaroos,"$347,500","$418,300",36,8.6,2018,6
2351,372,Daniel McStay,Lions,"$360,800","$310,600",35,11.3,2018,6
2352,372,Reece Conca,Tigers,"$309,100","$384,900",35,9.1,2018,6
2353,372,Dom Barry,Power,"$182,400","$151,000",35,23.2,2018,6
2354,372,Jackson Merrett,Bombers,"$242,500","$242,500",35,14.4,2018,6
2355,372,Sam Rowe,Blues,"$270,800","$295,000",35,11.9,2018,6
2356,377,Harrison Marsh,Swans,"$299,700","$300,500",34,11.3,2018,6
2357,378,Nicholas Holman,Suns,"$348,200","$265,500",33,12.4,2018,6
2358,379,Luke Davies-Uniacke,Kangaroos,"$557,400","$205,000",32,15.6,2018,6
2359,379,Jack Silvagni,Blues,"$419,200","$257,000",32,12.5,2018,6
2360,381,Sam Weideman,Demons,"$300,100","$175,300",31,17.7,2018,6
2361,382,Samuel Reid,Giants,"$207,400","$250,700",30,12.0,2018,6
2362,382,Ryan Lester,Lions,"$250,500","$376,800",30,8.0,2018,6
2363,382,David Astbury,Tigers,"$334,200","$425,300",30,7.1,2018,6
2364,385,Aaron Mullett,Blues,"$299,500","$364,700",28,7.7,2018,6
2365,386,Daniel Robinson,Swans,"$228,200","$237,500",27,11.4,2018,6
2366,387,Eric Hipwood,Lions,"$313,000","$265,400",26,9.8,2018,6
2367,388,Zach Tuohy,Cats,"$498,100","$467,700",25,5.3,2018,6
2368,389,Nicholas Coffield,Saints,"$208,800","$219,300",24,10.9,2018,6
2369,390,Kamdyn Mcintosh,Tigers,"$393,700","$313,600",21,6.7,2018,6
2370,391,George Horlin-Smith,Cats,"$221,300","$374,600",20,5.3,2018,6
2371,392,Myles Poholke,Crows,"$261,200","$123,900",18,14.5,2018,6
2372,392,James Aish,Magpies,"$431,800","$369,000",18,4.9,2018,6
2373,394,Michael Walters,Dockers,"$365,700","$512,600",17,3.3,2018,6
2374,395,Zach Guthrie,Cats,"$371,900","$222,100",15,6.8,2018,6
2375,396,Jack Petruccelle,Eagles,"$290,400","$117,300",12,10.2,2018,6
2376,1,Jackson Macrae,Bulldogs,"$634,400","$596,100",189,31.7,2018,7
2377,2,Dayne Zorko,Lions,"$453,200","$430,100",164,38.1,2018,7
2378,3,Josh Kennedy Injured,Swans,"$377,200","$441,600",151,34.2,2018,7
2379,4,Toby McLean,Bulldogs,"$178,900","$515,000",146,28.3,2018,7
2380,5,James Sicily,Hawks,"$624,700","$448,700",145,32.3,2018,7
2381,6,Aaron Sandilands,Dockers,"$471,800","$476,200",144,30.2,2018,7
2382,7,Nathan Fyfe,Dockers,"$313,600","$630,800",142,22.5,2018,7
2383,8,Edward Curnow,Blues,"$379,400","$547,600",136,24.8,2018,7
2384,9,Joel Selwood,Cats,"$401,500","$535,300",135,25.2,2018,7
2385,10,Jack Redden,Eagles,"$482,600","$356,600",134,37.6,2018,7
2386,10,Mitchell Duncan,Cats,"$486,800","$551,900",134,24.3,2018,7
2387,12,Jack Darling,Eagles,"$376,500","$452,400",132,29.2,2018,7
2388,12,Richard Douglas,Crows,"$301,200","$437,200",132,30.2,2018,7
2389,14,Jack Graham,Tigers,"$415,400","$256,100",131,51.2,2018,7
2390,14,Tom Phillips,Magpies,"$350,300","$459,200",131,28.5,2018,7
2391,16,Jesse Hogan,Demons,"$463,400","$456,400",130,28.5,2018,7
2392,17,Max Gawn,Demons,"$622,100","$608,000",127,20.9,2018,7
2393,17,Tom Mitchell,Hawks,"$528,600","$601,900",127,21.1,2018,7
2394,19,Clayton Oliver,Demons,"$699,800","$570,500",124,21.7,2018,7
2395,20,Lachie Neale,Dockers,"$676,200","$523,400",123,23.5,2018,7
2396,20,Jordan De Goey,Magpies,"$468,700","$408,900",123,30.1,2018,7
2397,20,Mason Wood,Kangaroos,"$393,800","$352,400",123,34.9,2018,7
2398,20,Shaun Higgins,Kangaroos,"$381,700","$506,400",123,24.3,2018,7
2399,24,Matt Crouch,Crows,"$498,000","$561,300",122,21.7,2018,7
2400,25,Kane Lambert,Tigers,"$290,400","$474,200",120,25.3,2018,7
2401,25,Rory Laird,Crows,"$703,900","$576,800",120,20.8,2018,7
