,Rank,Player,Team,CurrentSalary,RoundSalary,RoundScore,RoundValue,Year,Round
111,111,Steele Sidebottom,Magpies,"$409,200","$527,500",91,17.3,2018,1
112,111,Ben Ainsworth,Suns,"$415,400","$334,900",91,27.2,2018,1
113,111,Blake Hardwick,Hawks,"$391,700","$349,300",91,26.1,2018,1
114,111,Toby McLean,Bulldogs,"$178,900","$470,200",91,19.4,2018,1
115,116,Sam Jacobs,Crows,"$445,800","$526,300",90,17.1,2018,1
116,116,Jordan Lewis,Demons,"$370,800","$479,800",90,18.8,2018,1
117,116,Dylan Roberton,Saints,"$139,700","$509,000",90,17.7,2018,1
118,116,Callum Mills,Swans,"$642,400","$403,100",90,22.3,2018,1
119,120,Tom Bellchambers,Bombers,"$314,300","$504,500",89,17.6,2018,1
120,120,Rory Sloane,Crows,"$413,800","$605,800",89,14.7,2018,1
121,120,Jack Darling,Eagles,"$376,500","$397,900",89,22.4,2018,1
122,120,Alex Witherden,Lions,"$552,400","$478,900",89,18.6,2018,1
123,124,Lachlan Plowman,Blues,"$314,900","$358,900",88,24.5,2018,1
124,124,Ryan Lester,Lions,"$250,500","$434,100",88,20.3,2018,1
125,124,Jack Newnes,Saints,"$320,900","$465,800",88,18.9,2018,1
126,124,Luke Dahlhaus,Bulldogs,"$225,800","$498,500",88,17.7,2018,1
127,128,Trent Dumont,Kangaroos,"$345,500","$412,300",87,21.1,2018,1
128,128,Jack Crisp,Magpies,"$520,300","$455,300",87,19.1,2018,1
129,128,Kieren Jack,Swans,"$244,600","$406,800",87,21.4,2018,1
130,128,Josh Dunkley,Bulldogs,"$596,400","$296,900",87,29.3,2018,1
131,128,Adam Treloar,Magpies,"$530,600","$557,600",87,15.6,2018,1
132,128,Jeremy Finlayson,Giants,"$456,200","$123,900",87,70.2,2018,1
133,134,Jayden Hunt,Demons,"$285,600","$389,600",86,22.1,2018,1
134,134,Tom Doedee,Crows,"$422,300","$123,900",86,69.4,2018,1
135,134,Zach Guthrie,Cats,"$371,900","$194,400",86,44.2,2018,1
136,134,Daniel Howe,Hawks,"$301,400","$404,100",86,21.3,2018,1
137,138,Mark Lecras,Eagles,"$314,600","$364,800",85,23.3,2018,1
138,138,Zak Jones,Swans,"$352,400","$457,100",85,18.6,2018,1
139,138,Jordan Roughead,Bulldogs,"$389,800","$392,900",85,21.6,2018,1
140,138,Matthew Suckling,Bulldogs,"$267,300","$427,300",85,19.9,2018,1
141,138,Zach Tuohy,Cats,"$498,100","$484,600",85,17.5,2018,1
142,143,Matthew Wright,Blues,"$298,100","$418,600",84,20.1,2018,1
143,143,Callan Ward,Giants,"$469,200","$548,300",84,15.3,2018,1
144,143,Darcy Byrne-Jones,Power,"$460,400","$354,100",84,23.7,2018,1
145,143,Thomas Jonas,Power,"$344,500","$389,000",84,21.6,2018,1
146,143,Josh Caddy,Tigers,"$363,300","$419,600",84,20.0,2018,1
147,143,Thomas Stewart,Cats,"$604,000","$370,800",84,22.7,2018,1
148,149,David Mundy,Dockers,"$419,000","$491,700",83,16.9,2018,1
149,149,Brayden Fiorini,Suns,"$360,400","$387,400",83,21.4,2018,1
150,149,Jonathon Patton,Giants,"$189,800","$443,300",83,18.7,2018,1
151,149,Darcy Moore,Magpies,"$455,100","$338,000",83,24.6,2018,1
152,149,Charlie Cameron,Lions,"$427,400","$372,500",83,22.3,2018,1
153,149,Mitch Robinson,Lions,"$301,000","$406,400",83,20.4,2018,1
154,149,Nathan Jones,Demons,"$227,900","$554,900",83,15.0,2018,1
155,149,Timothy English,Bulldogs,"$581,000","$134,700",83,61.6,2018,1
156,149,Michael Walters,Dockers,"$365,700","$478,300",83,17.4,2018,1
157,149,Alex Rance,Tigers,"$448,100","$492,300",83,16.9,2018,1
158,159,Harrison Himmelberg,Giants,"$499,000","$270,600",82,30.3,2018,1
159,159,Jeremy McGovern,Eagles,"$483,400","$498,800",82,16.4,2018,1
160,159,Jaeger O'Meara,Hawks,"$472,400","$315,800",82,26.0,2018,1
161,159,Lachlan Fogarty,Cats,"$167,400","$117,300",82,69.9,2018,1
162,163,Dominic Sheed,Eagles,"$332,000","$459,500",81,17.6,2018,1
163,163,Darcy Macpherson,Suns,"$310,400","$257,000",81,31.5,2018,1
164,163,Jimmy Webster,Saints,"$333,600","$391,000",81,20.7,2018,1
165,166,James Frawley,Hawks,"$295,900","$364,900",80,21.9,2018,1
166,166,Ryan Clarke,Kangaroos,"$313,100","$369,100",80,21.7,2018,1
167,166,Jared Polec,Power,"$246,900","$447,900",80,17.9,2018,1
168,166,Will Hoskin-Elliott,Magpies,"$330,900","$447,100",80,17.9,2018,1
169,170,David Armitage,Saints,"$423,400","$310,100",79,25.5,2018,1
170,170,Shane Edwards,Tigers,"$326,200","$414,600",79,19.1,2018,1
171,170,James Harmes,Demons,"$432,700","$402,600",79,19.6,2018,1
172,170,Jack Bowes,Suns,"$277,500","$266,900",79,29.6,2018,1
173,170,Jesse Hogan,Demons,"$463,400","$383,200",79,20.6,2018,1
174,170,Brandon Matera,Dockers,"$265,500","$417,800",79,18.9,2018,1
175,176,Jacob Townsend,Tigers,"$238,200","$321,600",78,24.3,2018,1
176,176,Levi Casboult,Blues,"$270,600","$364,600",78,21.4,2018,1
177,176,Jeremy Howe,Magpies,"$463,800","$517,600",78,15.1,2018,1
178,179,Luke Breust,Hawks,"$350,300","$392,200",77,19.6,2018,1
179,179,Tom Lynch,Suns,"$519,100","$467,600",77,16.5,2018,1
180,179,Darcy Parish,Bombers,"$610,800","$419,000",77,18.4,2018,1
181,179,Cameron Ellis-Yolmen,Crows,"$273,800","$263,900",77,29.2,2018,1
182,179,Jordan Murdoch,Cats,"$253,000","$388,200",77,19.8,2018,1
183,184,Jayden Short,Tigers,"$543,800","$319,900",76,23.8,2018,1
184,184,Josh Bruce,Saints,"$161,200","$371,900",76,20.4,2018,1
185,184,Adam Tomlinson,Giants,"$273,200","$321,000",76,23.7,2018,1
186,184,Jack Martin,Suns,"$297,300","$447,800",76,17.0,2018,1
187,184,James Parsons,Cats,"$282,400","$266,600",76,28.5,2018,1
188,189,Nathan Fyfe,Dockers,"$313,600","$597,900",75,12.5,2018,1
189,189,Paul Seedsman,Crows,"$422,000","$300,200",75,25.0,2018,1
190,189,Bernie Vince,Demons,"$273,500","$407,100",75,18.4,2018,1
191,189,Dan Houston,Power,"$545,100","$403,700",75,18.6,2018,1
192,189,Nick Smith,Swans,"$338,200","$308,400",75,24.3,2018,1
193,189,Zac Smith,Cats,"$348,900","$501,800",75,14.9,2018,1
194,195,Billy Hartung,Kangaroos,"$291,300","$402,600",74,18.4,2018,1
195,195,Jack Steele,Saints,"$604,400","$500,800",74,14.8,2018,1
196,195,Matthew Kreuzer,Blues,"$528,900","$603,700",74,12.3,2018,1
197,195,Kade Kolodjashnij,Suns,"$207,700","$398,300",74,18.6,2018,1
198,195,Sam Mayes,Lions,"$201,400","$441,400",74,16.8,2018,1
199,195,Sam Menegola,Cats,"$344,000","$551,800",74,13.4,2018,1
200,195,Conor McKenna,Bombers,"$167,500","$363,200",74,20.4,2018,1
201,195,Nick Haynes,Giants,"$318,700","$416,800",74,17.8,2018,1
202,195,Cameron Guthrie,Cats,"$546,300","$406,300",74,18.2,2018,1
203,195,Michael Hibberd,Demons,"$339,700","$545,200",74,13.6,2018,1
204,205,Tom Papley,Swans,"$441,800","$451,400",73,16.2,2018,1
205,205,Bradley Sheppard,Eagles,"$347,400","$340,600",73,21.4,2018,1
206,205,Jy Simpkin,Kangaroos,"$500,200","$256,700",73,28.4,2018,1
207,205,Zaine Cordy,Bulldogs,"$231,700","$354,500",73,20.6,2018,1
208,205,Steven May,Suns,"$507,400","$462,100",73,15.8,2018,1
209,205,Dale Thomas,Blues,"$485,200","$358,600",73,20.4,2018,1
210,211,Jamie Cripps,Eagles,"$398,400","$355,300",72,20.3,2018,1
211,211,Matthew De Boer,Giants,"$274,100","$340,900",72,21.1,2018,1
212,211,Matthew Taberner,Dockers,"$311,300","$325,100",72,22.1,2018,1
213,211,Samuel Murray,Magpies,"$385,000","$123,900",72,58.1,2018,1
214,211,Koby Stevens,Saints,"$435,100","$435,100",72,16.5,2018,1
215,211,Ben Reid,Magpies,"$296,300","$397,700",72,18.1,2018,1
216,217,Samuel Reid,Giants,"$207,400","$271,500",71,26.2,2018,1
217,217,Josh Thomas,Magpies,"$287,300","$357,400",71,19.9,2018,1
218,217,Kane Lambert,Tigers,"$290,400","$472,500",71,15.0,2018,1
219,217,Mitchell Brown,Bombers,"$274,700","$299,100",71,23.7,2018,1
220,217,Jake Kelly,Crows,"$332,200","$324,600",71,21.9,2018,1
221,217,Josh Jenkins,Crows,"$323,400","$435,500",71,16.3,2018,1
222,217,Jake Carlisle,Saints,"$340,600","$376,100",71,18.9,2018,1
223,224,Lachlan Weller,Suns,"$447,500","$394,300",70,17.8,2018,1
224,225,Joshua Green,Bombers,"$253,600","$307,900",69,22.4,2018,1
